Brand,Current_Price,Discount,Original_Price,Product_Name
Kate Spade,122.5,30%,175.0,AUBRIE
Gucci,391.0,15%,460.0,GG1157O
Guess,117.5,50%,235.0,GU2960
Versace,316.0,,,VE1274
Gucci,340.0,15%,400.0,GG0165ON
Oakley,187.0,,,HSTN
Kate Spade,255.0,,,Eliana/G
Kate Spade,245.0,,,HALLIE/G
Guess,104.0,50%,208.0,GU2953
Burberry,133.0,50%,266.0,BE2370U
Guess,121.5,50%,243.0,GU2855-S
Dolce & Gabbana,171.5,50%,343.0,DG3361
Burberry,390.0,,,BE2418U
Versace,368.2,30%,526.0,VE1301
Ray-Ban,138.5,50%,277.0,RB8775D
Ray-Ban,176.0,,,RB3758V
Gucci,314.5,15%,370.0,GG0026O
Persol,422.0,,,PO3329V
Dolce & Gabbana,224.0,30%,320.0,DG3268
Versace,376.0,,,VE3367U
Versace,286.0,,,VE1264
Ray-Ban,210.0,,,RB5431
Kate Spade,265.0,,,Jonae
Kate Spade,250.0,,,Zeena/G
Kate Spade,161.0,30%,230.0,Hermione/G
Ray-Ban,222.0,,,RB7159
Ray-Ban,210.0,,,RB5430F
Ray-Ban Junior,122.0,,,RY1555F
Burberry,358.0,,,BE2403
Persol,363.0,,,PO3358V
Ray-Ban,198.0,,,RB6520
Kate Spade,255.0,,,Johnna
Guess,115.0,50%,230.0,GU50007-D
Persol,333.0,,,PO3092V
Ray-Ban,85.0,50%,170.0,RB2180V
Ray-Ban,261.0,,,RB8422 Optics
Gucci,476.0,15%,560.0,GG0297OK - Alternate Fit
Guess,104.0,50%,208.0,GU1952
Kate Spade,250.0,,,Vandra
Ray-Ban,155.4,30%,222.0,RB7210
Burberry,133.0,50%,266.0,BE2325F - Alternate Fit
Kate Spade,245.0,,,Davina
Dolce & Gabbana,335.0,,,DG5036
Ray-Ban,222.0,,,RB0298V
Ray-Ban,198.0,,,RB6509
Ray-Ban Junior,110.0,,,RY1554
Ray-Ban,222.0,,,RB6238
Oakley,227.0,,,Dissipate (Low Bridge Fit)
Persol,333.0,,,PO3012V
Ray-Ban,207.0,,,RB6281D
Burberry,160.5,50%,321.0,BE2291
Persol,363.0,,,PO2410VJ
Burberry,154.5,50%,309.0,BE2376
Oakley,222.6,30%,318.0,Gauge 3.1
Oakley,318.0,,,Gauge 3.2 Blade
Burberry,146.5,50%,293.0,BE2354
Burberry,327.0,,,BE2378F-Ellis
Versace,191.5,50%,383.0,VE1292
Ray-Ban,316.4,30%,452.0,RB8165V
Dolce & Gabbana,171.5,50%,343.0,DG3367
Ray-Ban,111.0,50%,222.0,RB0298VF
Kate Spade,255.0,,,Brieana
Versace,270.0,,,VE1184
Gucci,425.0,15%,500.0,GG1144O
Versace,346.0,,,VE3377U
Ray-Ban,479.0,,,RB8782
Burberry,146.5,50%,293.0,BE2333
Oakley,255.0,,,Pitchman - Alternate Fit
Ray-Ban,186.0,,,RB5445
Burberry,169.0,50%,338.0,BE1371
Ray-Ban Junior,110.0,,,RY1591
Ray-Ban,189.0,,,RB5440
Versace,128.0,50%,256.0,VE3315
Oakley,99.5,50%,199.0,Stagebeam
Gucci,365.5,15%,430.0,GG1319O
Gucci,322.0,30%,460.0,GG0942O
Burberry,390.0,,,BE1391
Burberry,327.0,,,BE1323
Gucci,378.25,15%,445.0,GG0385OA - Alternate Fit
Dolce & Gabbana,453.0,,,DG1361
Gucci,463.25,15%,545.0,GG1451O
Versace,189.0,30%,270.0,VE3294F - Alternate Fit
Dolce & Gabbana,221.2,30%,316.0,DG3353
Oakley,276.0,,,Clubface
Burberry,133.0,50%,266.0,BE2318
Versace,155.0,50%,310.0,VE3335F
Kate Spade,240.0,,,LUCINDA
Versace,141.5,50%,283.0,VE3311
Gucci,395.25,15%,465.0,GG0424O
Oakley,187.0,,,Hex Jector - Alternate Fit (TruBridge)
Oakley,387.0,,,Sway Bar
Ray-Ban,210.0,,,RB5245
Gucci,476.0,30%,680.0,GG0605O
Persol,171.0,50%,342.0,PO3301V
Persol,393.0,,,PO3377V
Ray-Ban Junior,110.0,,,RY1536
Ray-Ban,186.0,,,RB5169
Gucci,425.0,15%,500.0,GG0756OA - Alternate Fit
Persol,171.0,50%,342.0,PO3312V
Versace,270.0,,,VE1066
Kate Spade,240.0,,,Bronwen
Guess,100.0,50%,200.0,GU1993
Dolce & Gabbana,393.0,,,DG3419
Oakley,91.5,50%,183.0,Fuel Line
Ray-Ban,150.0,50%,300.0,RB6480M-Scuderia Ferrari Collection
Gucci,535.5,15%,630.0,GG1519O
Gucci,322.0,30%,460.0,GG1458O
Burberry,294.7,30%,421.0,BE2407
Burberry,160.5,50%,321.0,BE2255QF - Alternate Fit
Ray-Ban,207.0,,,RB7168D
Oakley,187.0,,,Bat Flip
Ray-Ban,130.5,50%,261.0,RB5344D
Ray-Ban,210.0,,,RB6448
Ray-Ban,210.0,,,RB3582V Round Metal II
Ray-Ban,210.0,,,RB5422
Burberry,139.5,50%,279.0,BE2353
Burberry,179.0,50%,358.0,BE2373U-Angelica
Kate Spade,250.0,,,Noel/G
Ray-Ban,88.5,50%,177.0,RB1969V
Ray-Ban,317.0,,,RB3807VM
Oakley,187.0,,,Hex Jector (TruBridge)
Dolce & Gabbana,364.0,,,DG3421
Burberry,216.3,30%,309.0,BE1374TD
Versace,228.2,30%,326.0,VE3357
Ray-Ban,111.5,50%,223.0,RB8953
Guess,104.0,50%,208.0,GU1954
Versace,256.0,,,VE3293
Kate Spade,250.0,,,Scarletta/G
Burberry,169.0,50%,338.0,BE2392
Ray-Ban,249.0,,,RX7199
Versace,317.1,30%,453.0,VE3358B
Persol,363.0,,,PO3263V
Kate Spade,175.0,,,Bari
Guess,135.8,30%,194.0,GU2878
Persol,210.0,50%,420.0,PO5005VT
Kate Spade,250.0,,,Gael
Versace,155.0,50%,310.0,VE3318
Oakley Youth,135.0,,,Marshal XS
Kate Spade,240.0,,,MARJORIE
Ray-Ban Junior,98.0,,,RY1058
Versace,152.0,50%,304.0,VE1266
Ray-Ban,276.0,,,RB8908
Versace,346.0,,,VE3274B
Versace,286.0,,,VE1218
Gucci,314.5,15%,370.0,GG1120O
Burberry,296.0,,,BE2367
Kate Spade,161.0,30%,230.0,Laylani
Kate Spade,250.0,,,Ilana
Oakley,99.5,50%,199.0,Diecutter RX
Ray-Ban,237.0,,,RB7140
Burberry,124.0,50%,248.0,BE2306
Gucci,259.25,15%,305.0,GG1581O
Gucci,314.5,15%,370.0,GG1728O
Persol,150.0,50%,300.0,PO2491V
Persol,348.0,,,PO3007VM
Burberry,169.0,50%,338.0,BE1376-Virginia
Oakley,130.9,30%,187.0,Plank 2.0
Persol,348.0,,,PO3337V
Ray-Ban,176.0,,,RB7330
Guess,119.0,50%,238.0,GU2792
Oakley,270.9,30%,387.0,Holbrook TI
Ray-Ban,249.0,,,RB7144
Versace,128.0,50%,256.0,VE3317
Dolce & Gabbana,144.0,50%,288.0,DG3365
Kate Spade,175.0,,,Pia
Oakley,222.6,30%,318.0,Seller
Guess,117.5,50%,235.0,GU2677
Ray-Ban,210.0,,,RB5418 Optics
Dolce & Gabbana,182.7,30%,261.0,DG5076
Gucci,501.5,15%,590.0,GG1273O
Versace,357.0,,,VE3362U
Versace,286.0,,,VE3186
Ray-Ban,210.0,,,RB5510 - Skyler Optics
Ray-Ban,148.4,30%,212.0,RB8762D
Kate Spade,250.0,,,Bendall
Burberry,296.0,,,BE2340 Bolton
Gucci,350.0,30%,500.0,GG1418O
Ray-Ban,153.0,,,RX3681V
Versace,139.0,50%,278.0,VE3283
Dolce & Gabbana,422.0,,,DG3406
Oakley,172.0,,,Top Spinner 5B
Gucci,322.0,30%,460.0,GG1075O
Gucci,420.75,15%,495.0,GG1423O
Ray-Ban Junior,87.0,,,RY9074V
Ray-Ban,249.0,,,RB7230
Persol,157.0,50%,314.0,PO3286V
Burberry,154.5,50%,309.0,BE2382D
Burberry,160.5,50%,321.0,BE2336
Oakley,187.0,,,Centerboard - Alternate Fit
Kate Spade,250.0,,,Hadlee
Gucci,290.5,30%,415.0,GG0964O
Gucci,259.25,15%,305.0,GG1341O
Ray-Ban,155.4,30%,222.0,RB7215 Erik Optics
Ray-Ban,189.0,,,RB7217 Chad Optics Bio-Based
Kate Spade,175.0,,,CECILY
Guess,92.0,50%,184.0,GU2813
Ray-Ban,210.0,,,RB5489F
Gucci,395.25,15%,465.0,GG0692O
Kate Spade,250.0,,,Audrina/G
Burberry,154.5,50%,309.0,BE2364
Kate Spade,168.0,30%,240.0,Madisyn/G
Kate Spade,245.0,,,DOVE/G
Kate Spade,255.0,,,Emilyn
Ray-Ban,87.5,50%,175.0,RB5341
Ray-Ban,178.0,,,RB5433
Oakley,208.0,,,Ojector RX
Ray-Ban,276.0,,,RB8779D
Burberry,327.0,,,BE 1375
Oakley,145.6,30%,208.0,Dagger Board
Gucci,446.25,15%,525.0,GG1510O
Burberry,327.0,,,BE2415F
Ray-Ban,186.0,,,RB5277
Burberry,421.0,,,BE1392
Ray-Ban,210.0,,,RB6421
Kate Spade,230.0,,,LUCYANN/F
Oakley,182.5,50%,365.0,Sobriquet
Oakley,227.0,,,Airdrop
Persol,171.0,50%,342.0,PO1008V
Gucci,488.75,15%,575.0,GG1466OA
Persol,181.5,50%,363.0,PO3297V
Persol,163.5,50%,327.0,PO1001V
Kate Spade,245.0,,,Belen
Ray-Ban,210.0,,,RB6510
Ray-Ban,166.0,,,RB7330F
Versace,228.2,30%,326.0,VE3344F
Versace,300.0,,,VE1280
Dolce & Gabbana,422.0,,,DG3395
Ray-Ban Junior,57.4,30%,82.0,RY9075VF - Alternate Fit
Guess,96.0,50%,192.0,GU50003
Oakley,387.0,,,Tie Bar 0.5
Ray-Ban,210.0,,,RB5430
Kate Spade,250.0,,,Ivie
Burberry,265.0,,,BE2108
Kate Spade,245.0,,,Irene
Oakley,242.0,,,Double Down
Burberry,132.5,50%,265.0,BE2242
Gucci,413.0,30%,590.0,GG1299O
Gucci,340.0,15%,400.0,GG1737O
Ray-Ban,344.0,,,RB7680V
Versace,139.0,50%,278.0,VE1272
Burberry,154.5,50%,309.0,BE1375
Versace,376.0,,,VE3350
Persol,163.5,50%,327.0,PO2494V
Gucci,302.5,50%,605.0,GG1205O
Oakley,187.0,,,Litebeam (Trubridge)
Versace,346.0,,,VE3344
Oakley,187.0,,,Alias
Ray-Ban,210.0,,,RB5489
Oakley,182.5,50%,365.0,Moon Shot
Burberry,137.5,50%,275.0,BE1340
Kate Spade,189.0,30%,270.0,CLOVER/F
Ray-Ban,222.0,,,RB7216F
Gucci,301.0,30%,430.0,GG0548O
Oakley,227.0,,,Socket 5.5
Burberry,146.5,50%,293.0,BE2368
Gucci,514.25,15%,605.0,GG1221O
Ray-Ban,325.0,,,RB8327VM
Dolce & Gabbana,185.5,50%,371.0,DG3358
Dolce & Gabbana,335.0,,,DG3349
Ray-Ban,210.0,,,RB3447V
Persol,393.0,,,PO3325V
Kate Spade,205.0,,,Aggie
Burberry,217.7,30%,311.0,BE2410F
Ray-Ban Junior,110.0,,,RY1592
Gucci,416.5,15%,490.0,GG1293OA
Ray-Ban Junior,122.0,,,RY1588
Oakley Youth,135.0,,,Milestone XS
Ray-Ban,71.0,50%,142.0,RB6471L
Versace,147.5,50%,295.0,VE1244
Oakley,318.0,,,Surface Plate
Guess,126.0,30%,180.0,GU2903
Ray-Ban,77.0,50%,154.0,RB7075
Gucci,527.0,15%,620.0,GG1434O
Kate Spade,175.0,,,Paris
Gucci,501.5,15%,590.0,GG1197OA
Burberry,358.0,,,BE2363
Oakley,318.0,,,Wingfold EVS
Burberry,296.0,,,BE2334F Elm - Alternate fit
Oakley,387.0,,,Sway Bar 0.5
Ray-Ban,210.0,,,RB4340V Wayfarer Ease
Oakley,276.0,,,Rhinochaser
Kate Spade,250.0,,,Izabel/G
Ray-Ban,210.0,,,RB6545
Gucci,463.25,15%,545.0,GG1285O
Kate Spade,168.0,30%,240.0,Violette
Ray-Ban,176.0,,,RB7047
Dolce & Gabbana,158.0,50%,316.0,DG3343
Dolce & Gabbana,306.0,,,DG5026
Ray-Ban,198.0,,,RB5418F
Kate Spade,230.0,,,LELIA
Oakley Youth,135.0,,,Crosslink XS
Persol,164.0,50%,328.0,PO3275V
Kate Spade,250.0,,,Tana/G
Kate Spade,250.0,,,Laval
Guess,108.0,50%,216.0,GU2888-D
Gucci,344.25,15%,405.0,GG0550O
Oakley,172.0,,,The Cut
Gucci,287.5,50%,575.0,GG1415O
Ray-Ban,210.0,,,RB6496 Optics
Ray-Ban,99.0,50%,198.0,RB6499
Persol,393.0,,,PO3371V
Gucci,340.0,15%,400.0,GG0750O
Guess,102.5,50%,205.0,GU2881
Oakley Youth,144.0,,,Frogskins XS
Ray-Ban,222.0,,,RB6466
Ray-Ban,176.0,,,RB7074
Gucci,416.5,15%,490.0,GG1525O
Dolce & Gabbana,306.0,,,DG3347
Dolce & Gabbana,185.5,50%,371.0,DG3371F
Dolce & Gabbana,130.5,50%,261.0,DG5077
Dolce & Gabbana,371.0,,,DG3389
Ray-Ban,226.0,50%,452.0,RB8237V
Kate Spade,178.5,30%,255.0,Karlyn
Burberry,133.0,50%,266.0,BE2318F - Alternate Fit
Gucci,259.25,15%,305.0,GG1715O
Gucci,350.0,30%,500.0,GG1025O
Ray-Ban,249.0,,,RB7316V
Ray-Ban,147.0,30%,210.0,RB0707V
Gucci,488.75,15%,575.0,GG1291O
Kate Spade,175.0,30%,250.0,Emelyn
Gucci,476.0,15%,560.0,GG0131O
Burberry,139.5,50%,279.0,BE2375
Gucci,446.25,15%,525.0,GG1549O
Persol,163.5,50%,327.0,PO2495V
Persol,174.0,50%,348.0,PO3338V
Gucci,259.25,15%,305.0,GG1584O
Versace,346.0,,,VE1247
Guess,113.5,50%,227.0,GU50045
Ray-Ban,189.0,,,RB6487
Ray-Ban,71.5,50%,143.0,RB7153
Oakley,242.0,,,Wheel House
Ray-Ban,172.5,50%,345.0,RB8773D
Persol,363.0,,,PO3344V
Versace,286.0,,,VE3309
Dolce & Gabbana,109.5,50%,219.0,DG5062
Dolce & Gabbana,335.0,,,DG5031
Versace,316.0,,,VE3342
Ray-Ban,184.1,30%,263.0,RB8757
Gucci,311.5,30%,445.0,GG1447O
Ray-Ban,156.1,30%,223.0,RB6495
Burberry,133.0,50%,266.0,BE2315
Dolce & Gabbana,297.5,30%,425.0,DG1353
Versace,286.0,,,VE1271
Kate Spade,245.0,,,Acerra
Versace,450.0,,,VE3366
Ray-Ban,198.0,,,RX5398F - Alternate Fit
Gucci,352.75,15%,415.0,GG0958O
Guess,104.0,50%,208.0,GU2956
Kate Spade,245.0,,,Atalina/F
Gucci,289.0,15%,340.0,GG1572O
Persol,422.0,,,PO3345V
Burberry,311.0,,,BE2205
Ray-Ban,210.0,,,RB6434
Ray-Ban,87.0,,,RB1621
Versace,177.0,50%,354.0,VE3338
Oakley Youth,135.0,,,Quad Out
Dolce & Gabbana,422.0,,,DG3407
Burberry,137.5,50%,275.0,BE2317
Persol,143.0,50%,286.0,PO3277V
Versace,141.5,50%,283.0,VE3285
Oakley,227.0,,,Futurity
Versace,163.0,50%,326.0,VE3345
Gucci,259.25,15%,305.0,GG0749O
Persol,157.0,50%,314.0,PO3285V
Burberry,233.8,30%,334.0,BE1373
Dolce & Gabbana,158.0,50%,316.0,DG1340
Ray-Ban,210.0,,,RB3547V Oval
Ray-Ban,249.0,,,RB7840V
Guess,115.0,50%,230.0,GU2687
Oakley Youth,135.0,,,Field Day
Ray-Ban,153.0,,,RB3681V
Ray-Ban,123.5,50%,247.0,RB5416D
Ray-Ban,166.0,,,RB7238F
Kate Spade,240.0,,,Maci
Burberry,327.0,,,BE2416
Ray-Ban,186.0,,,RB5445F
Kate Spade,240.0,,,LAUREL
Persol,171.0,50%,342.0,PO1010V
Persol,157.0,50%,314.0,PO3314V
Ray-Ban Junior,122.0,,,RY1555
Ray-Ban,216.0,,,RB7192M
Kate Spade,161.0,30%,230.0,Joliet
Burberry,327.0,,,BE2339 Harrington
Oakley,187.0,,,Hyperlink - Alternate Fit
Persol,273.7,30%,391.0,PO3295V
Ray-Ban,222.0,,,RB0316V
Versace,406.0,,,VE1307
Oakley,102.5,50%,205.0,Leadline RX
Burberry,483.0,,,BE2419
Gucci,327.25,15%,385.0,GG1133O
Gucci,423.5,30%,605.0,GG1297O
Ray-Ban,132.3,30%,189.0,RB7225
Versace,286.0,,,VE3328
Kate Spade,245.0,,,Glorianne
Burberry,154.5,50%,309.0,BE2384F
Dolce & Gabbana,335.0,,,DG3354
Guess,96.0,50%,192.0,GU2849
Oakley,163.0,,,Foil RQ
Versace,346.0,,,VE3242A
Gucci,425.0,15%,500.0,GG0934OA
Ray-Ban,176.0,,,RB7258
Oakley,227.0,,,Ingress
Ray-Ban,249.0,,,RB7235
Dolce & Gabbana,137.0,50%,274.0,DG1322
Oakley,442.0,,,Cognitive
Oakley,255.0,,,Enigma Ink
Dolce & Gabbana,158.0,50%,316.0,DG1347
Kate Spade,240.0,,,Leanna/G
Persol,363.0,,,PO3315V
Burberry,146.5,50%,293.0,BE2338F - Alternate Fit
Oakley,176.5,50%,353.0,Latch TI
Dolce & Gabbana,306.0,,,DG3258
Gucci,416.5,15%,490.0,GG0560ON
Burberry,154.5,50%,309.0,BE2387F
Gucci,259.25,15%,305.0,GG1717O
Ray-Ban,198.0,,,RB5422F
Ray-Ban,111.0,50%,222.0,RB7023
Burberry,146.5,50%,293.0,BE2356F
Burberry,249.0,,,BE2073
Persol,422.0,,,PO2886V - Folding
Gucci,476.0,30%,680.0,GG0241O
Oakley,227.0,,,Voon
Gucci,327.25,15%,385.0,GG1598O
Kate Spade,161.0,30%,230.0,Raelynn
Ray-Ban,300.0,,,RB7213M - Scuderia Ferrari Collection
Ray-Ban,210.0,,,RB5017A
Oakley,187.0,,,HSTN Low Bridge Fit
Versace,155.0,50%,310.0,VE3251B
Gucci,465.5,30%,665.0,GG1442O
Ray-Ban,155.4,30%,222.0,RB3765V
Burberry,137.5,50%,275.0,BE2319
Oakley,172.0,,,Frogskins (Low Bridge Fit)
Persol,348.0,,,PO3318V
Gucci,259.25,15%,305.0,GG1343O
Swarovski,300.0,,,SK1015
Ray-Ban,249.0,,,RB7240M - Scuderia Ferrari Collection
Oakley,297.0,,,Pitchman R Carbon - Alternate Fit
Ray-Ban,89.5,50%,179.0,RB1971V Icons
Kate Spade,250.0,,,Valencia/G
Versace,346.0,,,VE3320U
Gucci,295.0,50%,590.0,GG1274O
Ray-Ban,210.0,,,RB5206
Kate Spade,240.0,,,LIORA/G
Versace,221.2,30%,316.0,VE3349U
Ray-Ban,107.8,30%,154.0,RB7022
Guess,92.7,50%,184.0,GU50087-D
Ray-Ban,210.0,,,RB7260
Persol,163.5,50%,327.0,PO1005V
Dolce & Gabbana,158.0,50%,316.0,DG1290
Burberry,139.5,50%,279.0,BE2385U
Dolce & Gabbana,451.0,,,DG3409
Burberry,358.0,,,BE1381
Dolce & Gabbana,158.0,50%,316.0,DG3374
Ray-Ban,147.0,30%,210.0,RB7214 Gina Optics
Versace,300.0,,,VE3294
Gucci,365.5,15%,430.0,GG1687O
Dolce & Gabbana,126.0,50%,252.0,DG5053
Burberry,327.0,,,BE2425D
Kate Spade,245.0,,,POSI
Gucci,365.5,15%,430.0,GG1359O
Persol,273.7,30%,391.0,PO3294V
Ray-Ban,235.0,,,RB7222M
Guess,104.0,50%,208.0,GU2674
Versace,163.0,50%,326.0,VE3348
Dolce & Gabbana,232.0,,,DG5099
Oakley,187.0,,,Admission
Burberry,421.0,,,BE2406U
Gucci,314.5,15%,370.0,GG1540O
Kate Spade,245.0,,,AMABELLA/G
Ray-Ban,276.0,,,RB8416
Gucci,352.75,15%,415.0,GG1320O
Burberry,154.5,50%,309.0,BE2391
Gucci,416.5,15%,490.0,GG1522O
Ray-Ban,222.0,,,RB5279
Costa,141.0,,,Ocean Ridge 820
Burberry,257.6,30%,368.0,BE2409
Kate Spade,122.5,30%,175.0,TILLIE
Guess,104.0,50%,208.0,GU2731
Burberry,146.5,50%,293.0,BE2356
Ray-Ban,137.0,50%,274.0,RB7307M
Burberry,139.5,50%,279.0,BE 2375
Burberry,327.0,,,BE2172
Oakley,242.0,,,Dehaven
Kate Spade,240.0,,,CELESTINE
Dolce & Gabbana,335.0,,,DG3410
Ray-Ban,207.0,,,RB5315D
Oakley,172.0,,,Top Spinner 4B
Kate Spade,245.0,,,FABLE
Kate Spade,255.0,,,Seline
Versace,315.0,30%,450.0,VE3366F
Oakley Youth,135.0,,,Round Out
Ray-Ban,156.1,30%,223.0,RB6511
Dolce & Gabbana,254.8,30%,364.0,DG3393
Ray-Ban,210.0,,,RB6465 Jack
Oakley,297.0,,,Tensile
Ray-Ban,122.0,,,RB1549
Kate Spade,230.0,,,Kamila
Oakley Youth,135.0,,,Full Count
Oakley,208.0,,,Moonglow
Ray-Ban Junior,87.0,,,RY9093V
Oakley,318.0,,,Limit Switch
Oakley,242.0,,,CTRLNK
Dolce & Gabbana,364.0,,,DG3387
Ray-Ban,189.0,,,RB3733V
Kate Spade,245.0,,,Emmalee
Persol,164.0,50%,328.0,PO3317V
Persol,130.0,50%,260.0,PO3146V
Kate Spade,175.0,,,GRACY
Gucci,425.0,15%,500.0,GG1577O
Ray-Ban,276.0,,,RB8903
Ray-Ban,156.1,30%,223.0,RB8954
Dolce & Gabbana,140.0,50%,280.0,DG5027
Oakley,242.0,,,Chamfer Squared (TruBridge)
Kate Spade,250.0,,,Lowri/F - Alternate Fit
Burberry,169.0,50%,338.0,BE2388F
Kate Spade,245.0,,,CLIO/G
Kate Spade,157.5,30%,225.0,SUKI/F
Kate Spade,245.0,,,LEOTA/G
Oakley Youth,123.0,,,Whipback
Dolce & Gabbana,393.0,,,DG3397
Burberry,154.5,50%,309.0,BE1377
Dolce & Gabbana,300.0,,,DG1309
Gucci,365.5,15%,430.0,GG1318O
Persol,363.0,,,PO3351V
Burberry,311.0,,,BE2411
Kate Spade,240.0,,,CORINA
Dolce & Gabbana,158.0,50%,316.0,DG5087
Guess,104.0,50%,208.0,GU2952
Persol,363.0,,,PO3372V
Burberry,296.0,,,BE2357
Gucci,514.25,15%,605.0,GG1295O
Dolce & Gabbana,185.5,50%,371.0,DG3369
Oakley,159.6,30%,228.0,Pommel
Ray-Ban,210.0,,,RB7256
Persol,177.0,50%,354.0,PO2488V
